,country,continent,population,confirmed,deaths,percentage_confirmed_%,percentage_deaths_%,happiness_pre_pandemic,happiness_pandemic,happiness_diff
0,Afghanistan,Asia,35530081,151770,7000,0.42715917253326835,0.0197016156535078,2.566900015,2.523,-0.04390001499999974
1,Albania,Europe,2930187,135140,2461,4.611992340420594,0.08398781374704072,4.882699966,5.117,0.23430003400000032
2,Algeria,Africa,41318142,185902,4730,0.4499282663775152,0.01144775580663816,5.005099773,4.887,-0.11809977300000085
3,Argentina,South America,44271041,5074725,108815,11.462854465066679,0.24579272938262284,5.974699974,5.929,-0.0456999739999997
4,Armenia,Asia,2930450,233797,4678,7.97819447525124,0.15963418587588937,4.676799774,5.283,0.6062002260000003
5,Australia,Oceania,24450561,38193,949,0.1562050048667595,0.003881301537416667,7.222799778,7.183,-0.0397997779999999
6,Austria,Europe,8735453,666890,10753,7.634292119710334,0.1230960775588856,7.294199944,7.268,-0.02619994400000003
7,Azerbaijan,Asia,9827589,361501,5125,3.678430182621597,0.05214910798569211,5.164800167,5.171,0.0061998330000001545
8,Bahrain,Asia,1492584,270692,1384,18.13579671227884,0.0927250995588858,6.227300167,6.647,0.41969983300000013
9,Bangladesh,Asia,164669751,1405333,23810,0.8534251078086588,0.014459243337290283,4.832799911,5.025,0.19220008899999996
10,Belarus,Europe,9468338,458847,3582,4.846119773079499,0.0378313490709774,5.539899826,5.534,-0.0058998260000002745
11,Belgium,Europe,11429336,1147855,25285,10.043059369328192,0.22122894978325952,6.863500118,6.834,-0.02950011800000052
12,Benin,Africa,11175692,9065,113,0.0811135453625601,0.0010111230696049963,5.21600008,5.045,-0.17100007999999978
13,Bolivia,South America,11051600,480946,18133,4.351822360563176,0.16407578993086974,5.747499943,5.716,-0.03149994300000003
14,Bosnia and Herzegovina,Europe,3507017,207076,9701,5.9046192248283935,0.27661685130126257,5.674099922,5.813,0.13890007799999982
15,Botswana,Africa,2291661,136758,1973,5.9676365745195294,0.08609475834340245,3.478899956,3.467,-0.011899955999999712
16,Brazil,South America,209288278,20319000,567862,9.70861827244811,0.2713300550927176,6.375599861,6.33,-0.04559986100000035
17,Bulgaria,Europe,7084571,432339,18332,6.10254311799543,0.25875949298835454,5.101500034,5.266,0.16449996600000016
18,Burkina Faso,Africa,19193382,13668,170,0.07121204590207186,0.0008857219639561177,4.768700123,4.834,0.06529987699999928
19,Burundi,Africa,10864245,9620,38,0.088547340381223,0.00034977119901106796,3.775300026,3.775,-0.0003000260000001198
20,Cambodia,Asia,16005373,84262,1654,0.5264607079135237,0.010334029703650143,4.848400116,4.83,-0.018400115999999578
21,Cameroon,Africa,24053727,82454,1338,0.3427909529363163,0.0055625475420087705,5.084899902,5.142,0.057100098000000266
22,Canada,North America,36624199,1457458,26654,3.9794945413004115,0.07277701827690483,7.23210001,7.103,-0.12910001000000015
23,Chad,Africa,14899994,4981,174,0.03342954366290349,0.0011677857051486061,4.422699928,4.355,-0.06769992799999969
24,Chile,South America,18054726,1627428,36287,9.013861523016189,0.20098338795061194,6.228499889,6.172,-0.05649988900000036
25,China,Asia,1409517397,106353,4848,0.00754534851619146,0.00034394751070958226,5.123899937,5.339,0.2151000630000004
26,Colombia,South America,49065615,4860622,123221,9.906371294846707,0.2511351381206574,6.163400173,6.012,-0.15140017300000075
27,Comoros,Africa,813912,4035,147,0.4957538407100522,0.018060920590923835,4.288599968,4.289,0.0004000319999999391
28,Costa Rica,North America,4905769,428295,5211,8.730435534163961,0.10622187877170736,7.121399879,7.069,-0.052399879000000205
29,Croatia,Europe,4189353,366357,8280,8.744954173114559,0.19764388438978522,5.504700184,5.882,0.37729981599999984
30,Cyprus,Asia,1179551,108306,455,9.181968393058035,0.03857399976770822,6.15899992,6.223,0.06400007999999957
31,Denmark,Europe,5733551,330236,2560,5.759711564438861,0.04464946766846584,7.645599842,7.62,-0.025599842000000095
32,Dominican Republic,North America,10766998,345637,3976,3.2101519847965045,0.036927656158197486,5.689199924,5.545,-0.14419992400000048
33,Ecuador,South America,16624858,493767,31870,2.9700524359365956,0.19170088550530778,5.925199986,5.764,-0.16119998599999974
34,Egypt,Africa,97553151,285158,16609,0.2923103939512933,0.01702559049066493,4.151400089,4.283,0.13159991100000035
35,El Salvador,North America,6377853,90129,2769,1.4131558065072996,0.04341586424146182,6.34829998,6.061,-0.28729998000000023
36,Estonia,Europe,1309632,136500,1279,10.42277525289547,0.09766102233299125,6.021800041,6.189,0.1671999590000004
37,Ethiopia,Africa,104957438,288159,4460,0.27454843171762633,0.004249341528325034,4.186200142,4.275,0.08879985800000068
38,Finland,Europe,5523231,116231,998,2.1044022964094746,0.018069133809540103,7.808700085,7.842,0.033299914999999736
39,France,Europe,64979548,6471262,112705,9.958921228568718,0.17344688208665288,6.663799763,6.69,0.026200237000000293
40,Gabon,Africa,2025137,25564,165,1.2623343507130629,0.008147596928010302,4.829299927,4.852,0.02270007300000021
41,Gambia,Africa,2100568,8920,251,0.42464704784610635,0.011949148992082142,4.750599861,5.051,0.30040013899999973
42,Georgia,Asia,3912061,471685,6321,12.057199517083195,0.16157723511980002,4.672599792,4.891,0.21840020800000026
43,Germany,Europe,82114224,3819871,91866,4.651899286048176,0.11187586696307329,7.075799942,7.155,0.07920005800000052
44,Ghana,Africa,28833629,109736,906,0.38058338060741503,0.0031421643109856203,5.147999763,5.088,-0.05999976299999954
45,Greece,Europe,11159773,531967,13150,4.766826350320925,0.11783393802006546,5.514999866,5.723,0.20800013399999973
46,Guatemala,North America,16913503,407564,11006,2.409695968954509,0.06507226799794223,6.398900032,6.435,0.03609996799999937
47,Guinea,Africa,12717176,27645,277,0.21738316745793249,0.0021781565341236135,4.949299812,4.984,0.03470018800000041
48,Haiti,North America,10981229,20507,576,0.1867459461960041,0.005245314527180883,3.720799923,3.615,-0.10579992299999974
49,Honduras,North America,9265067,316235,8373,3.413197119891308,0.09037171560658978,5.953199863,5.919,-0.03419986300000044
50,Hungary,Europe,9721559,810316,30038,8.335247463909852,0.3089833636765461,6.000400066,5.992,-0.008400066000000095
51,Iceland,Europe,335025,9376,30,2.798597119617939,0.008954555630176853,7.504499912,7.554,0.049500088000000275
52,India,Asia,1339180127,32117826,430254,2.3983200879742443,0.032128164936545536,3.573299885,3.819,0.245700115
53,Indonesia,Asia,263991379,3804943,115096,1.4413133544031376,0.04359839341571832,5.285600185,5.345,0.05939981499999991
54,Iran,Asia,81162788,4359385,96742,5.371162212909689,0.1191950182884304,4.672399998,4.721,0.0486000019999997
55,Iraq,Asia,38274618,1761143,19541,4.601333970204484,0.05105472247952938,4.784800053,4.854,0.06919994700000043
56,Ireland,Europe,4761657,320915,5059,6.739565659601269,0.10624452790278678,7.093699932,7.085,-0.008699931999999855
57,Israel,Asia,8321570,929274,6611,11.167051409770032,0.07944414335275675,7.128600121,7.157,0.028399879000000183
58,Italy,Europe,59359900,4427827,128379,7.459289857294234,0.21627226460961016,6.38740015,6.483,0.09559984999999926
59,Jamaica,North America,2890299,56709,1276,1.9620461412469783,0.044147681606643466,5.889800072,6.309,0.4191999280000003
60,Japan,Asia,127484450,1110632,15396,0.8711901726053649,0.012076767009623528,5.870800018,5.94,0.06919998200000066
61,Jordan,Asia,9702353,781552,10187,8.055283084422923,0.10499514911485905,4.633399963,4.395,-0.238399963
62,Kazakhstan,Asia,18204499,737220,10791,4.049658274034347,0.05927655575690383,6.057899952,6.152,0.09410004800000049
63,Kenya,Africa,49699862,218713,4302,0.44006762030848295,0.008655959648338662,4.583000183,4.607,0.02399981699999998
64,Kuwait,Asia,4136528,405859,2383,9.811585948408908,0.05760869985649801,6.102099895,6.106,0.0039001049999995985
65,Kyrgyzstan,Asia,6045117,171238,2433,2.832666431435488,0.040247359976655545,5.541500092,5.744,0.20249990800000006
66,Laos,Asia,6858160,9668,9,0.140970756004526,0.0001312305341374363,4.888599873,5.03,0.14140012699999982
67,Latvia,Europe,1949670,139941,2561,7.177676222129898,0.13135556273625792,5.949999809,6.032,0.08200019099999967
68,Lebanon,Asia,6082357,579999,7967,9.535760561242952,0.13098540582211796,4.771500111,4.584,-0.1875001110000003
69,Lesotho,Africa,2233339,14243,397,0.637744650498648,0.01777607429951297,3.652800083,3.512,-0.1408000829999998
70,Liberia,Africa,4731906,5459,148,0.1153657743835148,0.00312770372023451,4.557899952,4.625,0.06710004800000036
71,Libya,Africa,5605000,279099,3869,4.979464763603925,0.06902765388046386,5.488800049,5.41,-0.07880004899999982
72,Lithuania,Europe,2890297,288747,4440,9.990218998255198,0.1536174310114151,6.215499878,6.255,0.03950012199999975
73,Luxembourg,Europe,583455,74595,828,12.785047690053217,0.14191325809188368,7.237500191,7.324,0.0864998090000002
74,Madagascar,Africa,25570895,42802,951,0.1673856155601906,0.0037190720152736143,4.165599823,4.208,0.042400177000000205
75,Malawi,Africa,18622104,57620,1941,0.30941723878247057,0.0104230971967507,3.538000107,3.6,0.061999893000000306
76,Malaysia,Asia,31624264,1363683,11968,4.312141462011574,0.037844359002315434,5.384300232,5.384,-0.00030023199999984485
77,Maldives,Asia,436330,78926,222,18.08860266312195,0.05087892191689776,5.197599888,5.198,0.0004001120000003411
78,Mali,Africa,18541980,14685,534,0.07919866163160569,0.0028799513320583886,4.729300022,4.723,-0.00630002200000046
79,Malta,Europe,430835,35192,429,8.168324300486265,0.09957408288555944,6.772799969,6.602,-0.17079996899999994
80,Mauritania,Africa,4420184,29603,634,0.6697232513397633,0.014343294306300372,4.374599934,4.227,-0.1475999339999996
81,Mauritius,Africa,1265138,5607,21,0.4431927584184492,0.0016598979716046787,6.101299763,6.049,-0.05229976299999972
82,Mexico,North America,129163276,3045571,246811,2.357923315602494,0.1910844999007303,6.465000153,6.317,-0.1480001529999999
83,Moldova,Europe,4051212,261807,6301,6.462436426432386,0.15553370201312594,5.607500076,5.766,0.15849992400000001
84,Mongolia,Asia,3075647,179889,871,5.848818151107718,0.02831924469875769,5.456200123,5.677,0.22079987699999926
85,Morocco,Africa,35739580,741836,10823,2.0756707269643346,0.030282952401790953,5.094799995,4.918,-0.17679999499999965
86,Mozambique,Africa,29668834,137413,1690,0.46315605122870684,0.005696213069917072,4.623600006,4.794,0.1703999939999994
87,Namibia,Africa,2533794,122097,3262,4.818742170831567,0.12873974758800438,4.571100235,4.574,0.0028997649999995545
88,Nepal,Asia,29304998,728532,10239,2.486033269819708,0.03493943251591418,5.137199879,5.269,0.13180012100000038
89,Netherlands,Europe,17035938,1929780,18204,11.327700300388509,0.10685645838814395,7.448900223,7.464,0.015099777000000536
90,New Zealand,Oceania,4705818,2915,26,0.06194459709236524,0.000552507555540822,7.299600124,7.277,-0.02260012400000022
91,Nicaragua,North America,6217581,10251,197,0.16487119347540466,0.0031684347980347983,6.13710022,5.972,-0.16510021999999935
92,Niger,Africa,21477348,5719,196,0.026628054823156007,0.0009125893941840492,4.909599781,5.074,0.16440021900000001
93,Nigeria,Africa,190886311,181297,2211,0.09497642814208924,0.0011582810671007205,4.724100113,4.759,0.03489988699999991
94,Norway,Europe,5305383,143767,808,2.7098326360226963,0.015229814699523107,7.487999916,7.392,-0.09599991599999935
95,Pakistan,Asia,197015955,1089913,24266,0.5532105255130225,0.012316768964219167,5.69329977,4.934,-0.7592997700000002
96,Panama,North America,4098587,445651,6932,10.873283890277307,0.16913145920777087,6.304800034,6.18,-0.12480003400000061
97,Paraguay,South America,6811297,456291,15383,6.699032504382058,0.22584538598155388,5.692100048,5.653,-0.039100048000000776
98,Peru,South America,32165485,2130018,197209,6.62206088296197,0.6131074970577935,5.796800137,5.84,0.043199862999999894
99,Philippines,Asia,104918090,1713302,29838,1.632990078260098,0.028439328241678816,6.006000042,5.88,-0.12600004200000026
100,Poland,Europe,38170712,2884974,75297,7.558082752032501,0.1972638079163941,6.186299801,6.166,-0.020299800999999285
101,Portugal,Europe,10329506,998547,17537,9.666938573829183,0.16977578598628046,5.910900116,5.929,0.01809988400000062
102,Romania,Europe,19679306,1086492,34337,5.520987376282477,0.17448277901669906,6.123700142,6.14,0.016299858
103,Russia,Europe,143989754,6468890,165996,4.492604383503565,0.11528320272010464,5.546000004,5.477,-0.06900000399999939
104,Rwanda,Africa,12208407,78818,938,0.6456042954662308,0.007683230088905129,3.312299967,3.415,0.10270003300000008
105,Saudi Arabia,Asia,32938213,537374,8388,1.6314606988545495,0.0254658624012177,6.406499863,6.494,0.08750013700000014
106,Senegal,Africa,15850567,70125,1570,0.44241319569199006,0.009905008445439206,4.980800152,5.132,0.15119984800000008
107,Sierra Leone,Africa,7557212,6333,121,0.0838007455659574,0.0016011195663162552,3.926399946,3.849,-0.07739994599999989
108,Singapore,Asia,5708844,66061,44,1.157169472488651,0.0007707339699595926,6.377099991,6.377,-9.999099999991046e-05
109,Slovakia,Europe,5447662,393361,12544,7.220730654728579,0.23026391872329818,6.280600071,6.331,0.05039992900000012
110,Slovenia,Europe,2079976,261068,4433,12.551490978742063,0.21312745916299033,6.363399982,6.461,0.09760001800000051
111,South Africa,Africa,56717156,2582427,76631,4.55316729915019,0.13511079434236795,4.814099789,4.956,0.14190021100000028
112,Spain,Europe,46354321,4693540,82470,10.125355951174434,0.17791221664103332,6.400899887,6.491,0.09010011300000009
113,Sri Lanka,,20876917,348270,5776,1.6682060861764214,0.027666920359936287,4.327000141,4.325,-0.0020001409999999
114,Sweden,Europe,9910701,1110147,14658,11.201498259305774,0.14790073880747687,7.353499889,7.363,0.009500111000000366
115,Switzerland,Europe,8476005,735375,10923,8.675962319512553,0.12886967386168366,7.559899807,7.571,0.01110019299999987
116,Tajikistan,Asia,8921343,15997,123,0.1793115677762866,0.0013787161865651842,5.555699825,5.466,-0.0896998249999994
117,Tanzania,Africa,57310019,1367,50,0.002385272285461989,8.724478000958262e-05,3.476200104,3.623,0.1467998960000001
118,Thailand,Asia,69037513,863189,7126,1.2503187940735931,0.010321924545572783,5.998799801,5.985,-0.013799800999999334
119,Togo,Africa,7797694,17581,165,0.22546409233293843,0.0021160101948088754,4.187200069,4.107,-0.08020006899999998
120,Tunisia,Africa,11532127,620212,21600,5.3781232204605445,0.18730282800388862,4.392199993,4.596,0.2038000069999999
121,Turkey,Asia,80745020,6039827,52860,7.4801232323677675,0.06546533767655269,5.131800175,4.948,-0.183800175
122,Uganda,Africa,42862958,96497,2856,0.2251291196468522,0.006663095906726735,4.43200016,4.636,0.20399983999999982
123,Ukraine,Europe,44222947,2352042,56085,5.3186007707717895,0.12682329832066597,4.56069994,4.875,0.3143000599999999
124,United Arab Emirates,Asia,9400145,699381,1994,7.440108636622095,0.021212438744295965,6.790800095,6.561,-0.22980009499999987
125,United Kingdom,Europe,66181585,6241443,131116,9.43078501368621,0.19811553319552563,7.164500237,7.064,-0.10050023700000033
126,Uruguay,South America,3456750,383101,5998,11.082693281261301,0.17351558544875967,6.440100193,6.431,-0.00910019300000009
127,Uzbekistan,Asia,31910641,141158,964,0.4423540097486603,0.0030209358690099644,6.257599831,6.179,-0.07859983100000001
128,Venezuela,South America,31977065,316449,3764,0.9896123987614247,0.011770936450859389,5.053199768,4.892,-0.16119976799999947
129,Vietnam,Asia,95540800,255748,5088,0.2676845912950279,0.005325473514979987,5.353499889,5.411,0.05750011099999952
130,Yemen,Asia,28250420,7256,1397,0.025684573893060704,0.004945059223898264,3.527400017,3.658,0.13059998299999975
131,Zambia,Africa,17094130,201867,3515,1.1809141500620388,0.020562614183933316,3.759399891,4.073,0.31360010900000024
132,Zimbabwe,Africa,16529904,119508,4073,0.7229806053320091,0.024640191497784864,3.299200058,3.145,-0.1542000579999998
